property_type,department,lat,lon,area_m2,price_usd
house,Bogotá D.C,4.69,-74.048,187.0,"$330,899.98"
house,Bogotá D.C,4.695,-74.082,82.0,"$121,555.09"
house,Quindío,4.535,-75.676,235.0,"$219,474.47"
house,Bogotá D.C,4.62,-74.129,195.0,"$97,919.38"
house,Atlántico,11.012,-74.834,112.0,"$115,477.34"
house,Bogotá D.C,4.643,-74.06,134.0,"$300,511.20"
house,Atlántico,11.006,-74.809,360.0,"$287,005.08"
house,Bogotá D.C,4.697,-74.034,120.0,"$182,332.64"
house,Atlántico,11.015,-74.82,155.0,"$206,152.37"
house,Cundinamarca,4.92,-74.027,376.0,"$405,183.64"
house,Bogotá D.C,4.72,-74.042,92.0,"$148,229.68"
house,Bogotá D.C,4.65,-74.117,120.0,"$300,511.20"
house,Bogotá D.C,4.572,-74.102,413.0,"$506,479.56"
house,Bogotá D.C,4.685,-74.086,300.0,"$293,758.14"
house,Bolívar,10.392,-75.549,373.0,"$540,244.86"
house,Bogotá D.C,4.745,-74.084,92.0,"$108,048.97"
house,Bogotá D.C,4.716,-74.049,145.0,"$263,369.37"
house,Bogotá D.C,4.727,-74.028,157.0,"$155,320.39"
house,Bogotá D.C,4.655,-74.053,124.0,"$290,381.61"
house,Atlántico,10.997,-74.804,111.0,"$222,324.57"
house,Bogotá D.C,4.7,-74.049,265.0,"$540,244.86"
house,Bogotá D.C,4.695,-74.041,130.0,"$251,551.51"
house,Bogotá D.C,4.653,-74.052,203.0,"$428,819.36"
house,Bogotá D.C,4.756,-74.07,113.0,"$222,851.00"
house,Bogotá D.C,4.69,-74.047,118.0,"$256,997.71"
house,Atlántico,11.016,-74.815,83.0,"$113,789.07"
house,Atlántico,11.017,-74.819,210.0,"$288,633.16"
house,Bogotá D.C,4.693,-74.05,73.0,"$114,802.03"
house,Bogotá D.C,4.733,-74.075,220.0,"$506,479.56"
house,Valle del Cauca,3.46,-76.534,203.0,"$168,826.52"
house,Atlántico,10.995,-74.798,395.0,"$253,239.78"
house,Bogotá D.C,4.694,-74.16,93.0,"$124,593.97"
house,Antioquia,,,80.0,"$94,542.85"
house,Bogotá D.C,4.68,-74.052,259.0,"$506,479.56"
house,Bogotá D.C,4.719,-74.03,270.0,"$371,418.34"
house,Bogotá D.C,4.73,-74.055,94.0,"$120,879.78"
house,Atlántico,11.02,-74.846,224.0,"$162,073.45"
house,Bogotá D.C,4.727,-74.061,83.0,"$138,437.74"
house,Bogotá D.C,4.671,-74.057,186.0,"$405,183.64"
house,Bogotá D.C,4.707,-74.05,140.0,"$219,474.47"
house,Bogotá D.C,4.66,-74.079,73.0,"$111,425.50"
house,Cundinamarca,4.677,-73.971,240.0,"$506,479.56"
house,Bogotá D.C,4.698,-74.036,259.0,"$422,066.30"
house,Atlántico,10.982,-74.837,396.0,"$220,622.49"
house,Bogotá D.C,4.739,-74.046,79.0,"$99,607.64"
house,Bogotá D.C,4.812,-74.031,340.0,"$405,183.64"
house,Bogotá D.C,4.704,-74.032,93.0,"$168,826.52"
house,Atlántico,11.002,-74.809,70.0,"$91,166.32"
house,Atlántico,11.019,-74.819,108.0,"$135,061.21"
house,Bogotá D.C,4.728,-74.068,67.0,"$79,348.46"
house,Bogotá D.C,4.725,-74.037,136.0,"$202,591.82"
house,Bogotá D.C,4.677,-74.041,209.0,"$540,244.86"
house,Cundinamarca,4.987,-74.327,328.0,"$253,239.78"
house,Bogotá D.C,4.735,-74.034,152.0,"$167,138.25"
house,Antioquia,,,119.0,"$62,465.81"
house,Bogotá D.C,4.687,-74.05,114.0,"$287,005.08"
house,Tolima,4.29,-74.815,180.0,"$81,036.72"
house,Bogotá D.C,4.701,-74.145,98.0,"$185,709.17"
house,Atlántico,11.004,-74.807,125.0,"$178,956.11"
