property_type,department,lat,lon,area_m2,price_cop
house,Magdalena,11.233,-74.204,235.0,400000000.0
house,Bogotá D.C,4.714,-74.03,130.0,850000000.0
house,Cundinamarca,4.851,-74.059,137.0,475000000.0
house,Atlántico,11.006,-74.808,346.0,1400000000.0
house,Cundinamarca,4.857,-74.061,175.0,430000000.0
house,Cundinamarca,4.883,-74.035,297.0,1500000000.0
house,Atlántico,11.02,-74.864,170.0,550000000.0
house,Bogotá D.C,4.73,-74.066,65.0,250000000.0
house,Valle del Cauca,3.328,-76.639,105.0,340000000.0
house,Antioquia,6.189,-75.563,171.0,770000000.0
house,Antioquia,6.238,-75.569,161.0,204900000.0
house,Bogotá D.C,4.73,-74.046,157.0,744999999.0
house,Bogotá D.C,4.708,-74.041,195.0,1500000000.0
house,Cundinamarca,4.865,-74.051,360.0,1650000000.0
house,Atlántico,11.013,-74.838,300.0,800000000.0
house,Cundinamarca,4.342,-74.358,400.0,1100000000.0
house,Atlántico,11.0,-74.801,160.0,340000000.0
house,Bogotá D.C,4.694,-74.043,108.0,600000000.0
house,Valle del Cauca,3.428,-76.516,438.0,320000000.0
house,Atlántico,11.004,-74.807,75.0,255000000.0
house,Bogotá D.C,4.722,-74.043,110.0,390000000.0
house,Bogotá D.C,4.656,-74.052,124.0,980000000.0
house,Antioquia,6.164,-75.616,260.0,520000000.0
apartment,Magdalena,,,76.0,315000000.0
house,Bogotá D.C,4.674,-74.05,116.0,980000000.0
house,Bogotá D.C,4.657,-74.07,421.0,790000000.0
house,Bogotá D.C,4.597,-74.076,123.0,1000000000.0
house,Atlántico,11.007,-74.819,93.0,283092900.0
house,Bogotá D.C,4.723,-74.061,158.0,520000000.0
house,Cundinamarca,4.859,-74.059,340.0,920000000.0
house,Bogotá D.C,4.741,-74.069,128.0,550000000.0
house,Atlántico,10.999,-74.831,129.0,350000000.0
house,Valle del Cauca,3.406,-76.551,190.0,330000000.0
house,Cundinamarca,4.845,-74.061,206.0,1000000000.0
house,Atlántico,11.018,-74.817,98.0,255000000.0
house,Atlántico,10.982,-74.839,216.0,580000000.0
house,Bogotá D.C,4.604,-74.07,260.0,1040000000.0
house,Bogotá D.C,4.736,-74.025,196.0,1700000000.0
house,Bogotá D.C,4.711,-74.137,271.0,539900000.0
house,Atlántico,10.98,-74.786,263.0,400000000.0
house,Atlántico,11.012,-74.826,90.0,300000000.0
house,Bolívar,,,71.0,235000000.0
house,Bogotá D.C,4.67,-74.053,115.0,650000000.0
house,Cundinamarca,5.012,-74.47,287.0,1200000000.0
house,Magdalena,11.186,-74.234,124.0,766350000.0
