property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|Colombia|Bogotá D.C|Suba|,"4.722,-74.059",113.0,162073.45
house,|Colombia|Valle del Cauca|Cali|,"3.455,-76.522",210.0,151943.86
house,|Colombia|Bogotá D.C|Chapinero|,"4.676,-74.044",183.0,422066.3
house,|Colombia|Atlántico|Barranquilla|,"10.999,-74.816",85.0,84413.26
house,|Colombia|Valle del Cauca|Cali|,"3.334,-76.547",145.0,131577.65
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.7,-74.054",100.0,162073.45
house,|Colombia|Bogotá D.C|Suba|,"4.725,-74.068",260.0,523362.21
house,|Colombia|Bogotá D.C|Suba|,"4.729,-74.07",118.0,167138.25
house,|Colombia|Bogotá D.C|Suba|,"4.726,-74.068",68.0,84413.26
house,|Colombia|Cundinamarca|La Mesa|,"4.623,-74.471",67.0,93192.23
house,|Colombia|Bogotá D.C|Usaquén|,"4.717,-74.048",112.0,239733.65
house,|Colombia|Valle del Cauca|Cali|,"3.382,-76.524",95.0,77660.19
house,|Colombia|Bogotá D.C|Usaquén|,"4.738,-74.039",235.0,185709.17
house,|Colombia|Bogotá D.C|Chapinero|,"4.628,-74.066",127.0,180644.37
house,|Colombia|Antioquia|Marinilla|,"6.177,-75.341",100.0,64154.07
house,|Colombia|Magdalena|Santa Marta|,"11.242,-74.205",73.0,137762.44
house,|Colombia|Antioquia|,"6.0968598189,-75.4705810547",310.0,432195.89
house,|Colombia|Valle del Cauca|Cali|,"3.462,-76.516",360.0,94542.85
house,|Colombia|Bogotá D.C|Fontibón|,"4.683,-74.139",120.0,74283.66
house,|Colombia|Valle del Cauca|Cali|,"3.457,-76.536",236.0,151943.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.675,-74.049",148.0,437260.68
house,|Colombia|Bogotá D.C|Suba|,"4.728,-74.074",278.0,371418.34
house,|Colombia|Bogotá D.C|Usaquén|,"4.734,-74.035",84.0,97919.38
house,|Colombia|Bolívar|Cartagena|,"10.387,-75.467",112.0,104672.44
house,|Colombia|Bogotá D.C|Suba|,"4.738,-74.059",113.0,134385.91
apartment,|Colombia|Cundinamarca|,,120.0,143315.1
house,|Colombia|Cundinamarca|Chía|,"4.865,-74.051",153.0,287005.08
house,|Colombia|Bogotá D.C|Usaquén|,"4.699,-74.035",170.0,297134.67
house,|Colombia|Bogotá D.C|Suba|,"4.751,-74.066",85.0,115646.16
house,|Colombia|Bogotá D.C|Usaquén|,"4.694,-74.054",290.0,566581.8
house,|Colombia|Magdalena|Santa Marta|,"11.24,-74.211",72.0,113113.76
house,|Colombia|Atlántico|Barranquilla|,"10.99,-74.825",210.0,161398.15
house,|Colombia|Atlántico|Puerto Colombia|,"11.024,-74.861",230.0,246486.72
house,|Colombia|Cundinamarca|Cajicá|,"4.901,-74.028",422.0,405183.64
house,|Colombia|Atlántico|Barranquilla|,"11.02,-74.804",247.0,219474.47
house,|Colombia|Atlántico|Barranquilla|,"11.007,-74.806",167.0,151943.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.693,-74.035",160.0,162073.45
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.696,-74.062",108.0,145190.8
house,|Colombia|Bogotá D.C|Usaquén|,"4.723,-74.042",93.0,128308.15
house,|Colombia|Atlántico|Barranquilla|,"11.007,-74.809",248.0,422876.66
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.645,-74.066",211.0,101262.14
house,|Colombia|Valle del Cauca|Cali|,"3.45,-76.495",200.0,89478.05
house,|Colombia|Cundinamarca|La Calera|,"4.721,-73.969",172.0,287005.08
house,|Colombia|Bogotá D.C|Suba|,"4.69,-74.05",199.0,371418.34
house,|Colombia|Bogotá D.C|Fontibón|,"4.662,-74.127",113.0,121555.09
house,|Colombia|Bogotá D.C|Bosa|,"4.595,-74.156",111.0,77660.19
house,|Colombia|Valle del Cauca|Cali|,"3.446,-76.548",136.0,97919.38
house,|Colombia|Caldas|Manizales|,"5.07,-75.514",98.0,72595.4
house,|Colombia|Bolívar|Cartagena|,"10.401,-75.512",100.0,185709.17
house,|Colombia|Atlántico|Barranquilla|,"11.006,-74.815",170.0,237518.65
house,|Colombia|Atlántico|Barranquilla|,"11.005,-74.835",92.0,126282.23
house,|Colombia|Bogotá D.C|Suba|,"4.724,-74.046",118.0,91166.32
house,|Colombia|Bogotá D.C|Kennedy|,"4.596,-74.146",76.0,75971.93
house,|Colombia|Atlántico|Puerto Colombia|,"11.001,-74.951",104.0,97919.38
house,|Colombia|Cundinamarca|La Calera|,"4.72,-73.975",156.0,155320.39
house,|Colombia|Bogotá D.C|Usaquén|,"4.7,-74.051",167.0,229266.41
house,|Colombia|Bogotá D.C|Usaquén|,"4.706,-74.027",70.0,160385.19
house,|Colombia|Bogotá D.C|Usaquén|,"4.7,-74.045",134.0,251551.51
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",220.0,168826.52
house,|Colombia|Valle del Cauca|Cali|,"3.382,-76.523",100.0,94542.85
house,|Colombia|Atlántico|Barranquilla|,"10.991,-74.816",102.0,107373.66
house,|Colombia|Bogotá D.C|Chapinero|,"4.658,-74.05",200.0,438948.95
house,|Colombia|Bogotá D.C|Engativa|,"4.725,-74.123",65.0,70231.83
house,|Colombia|Atlántico|Barranquilla|,"10.991,-74.813",240.0,373781.91
house,|Colombia|Atlántico|Barranquilla|Ríomar|,"11.004,-74.807",138.0,148567.33
house,|Colombia|Bogotá D.C|Usaquén|,"4.734,-74.031",94.0,134723.56
house,|Colombia|Bogotá D.C|Chapinero|,"4.671,-74.056",120.0,287005.08
house,|Colombia|Bogotá D.C|Usaquén|,"4.689,-74.052",175.0,280252.02
house,|Colombia|Bogotá D.C|Usaquén|,"4.714,-74.031",110.0,180644.37
house,|Colombia|Valle del Cauca|Cali|,"3.411,-76.534",360.0,131684.68
house,|Colombia|Bogotá D.C|Usaquén|,"4.724,-74.037",82.0,104672.44
house,|Colombia|Cundinamarca|Chía|,"4.893,-74.007",200.0,371418.34
house,|Colombia|Bogotá D.C|Usaquén|,"4.738,-74.042",73.0,81036.72
house,|Colombia|Bogotá D.C|Usaquén|,"4.693,-74.038",134.0,167138.25
house,|Colombia|Valle del Cauca|Cali|,"3.49,-76.514",194.0,151943.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.711,-74.025",209.0,523362.21
house,|Colombia|Bogotá D.C|Suba|,"4.766,-74.064",115.0,202591.82
house,|Colombia|Bogotá D.C|Usaquén|,"4.697,-74.076",164.0,253239.78
house,|Colombia|Valle del Cauca|Cali|,"3.467,-76.49",110.0,62465.81
house,|Colombia|Bogotá D.C|Usaquén|,"4.699,-74.032",178.0,418689.77
house,|Colombia|Cundinamarca|Cajicá|,"4.867,-74.038",230.0,320770.38
house,|Colombia|Valle del Cauca|Cali|,"3.39,-76.525",310.0,155320.39
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.679,-74.055",121.0,226227.53
house,|Colombia|Cundinamarca|Girardot|,"4.305,-74.803",337.0,168826.52
house,|Colombia|Bogotá D.C|Suba|,"4.729,-74.062",185.0,208669.57
house,|Colombia|Bogotá D.C|Usaquén|,"4.731,-74.038",92.0,127632.84
house,|Colombia|Atlántico|Barranquilla|Ríomar|,"11.016,-74.82",132.0,151943.86
house,|Colombia|Bogotá D.C|Suba|,"4.724,-74.062",113.0,146845.3
house,|Colombia|Bogotá D.C|Usaquén|,"4.696,-74.042",93.0,157008.66
house,|Colombia|Valle del Cauca|Cali|,"3.381,-76.526",95.0,84244.43
house,|Colombia|Bogotá D.C|Usaquén|,"4.731,-74.042",370.0,540244.86
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",94.0,91166.32
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",114.0,74283.66
house,|Colombia|Bogotá D.C|Puente Aranda|,"4.647,-74.078",130.0,138437.74
house,|Colombia|Cundinamarca|Chía|,"4.864,-74.049",300.0,438948.95
house,|Colombia|Bogotá D.C|Chapinero|,"4.648,-74.053",99.0,354974.64
house,|Colombia|Valle del Cauca|Cali|,"3.413,-76.529",350.0,67530.6
house,|Colombia|Atlántico|Barranquilla|,"11.013,-74.838",227.0,222851.0
house,|Colombia|Bogotá D.C|La Candelaria|,"4.598,-74.076",150.0,489596.9
house,|Colombia|Valle del Cauca|Cali|,"3.41,-76.496",80.0,77660.19
house,|Colombia|Bogotá D.C|Chapinero|,"4.68,-74.04",110.0,320770.38
house,|Colombia|Bogotá D.C|Usaquén|,"4.7,-74.053",150.0,222851.0
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.72,-74.051",121.0,202591.82
house,|Colombia|Bogotá D.C|Usaquén|,"4.69,-74.047",68.0,155320.39
house,|Colombia|Atlántico|Tubará|,"10.938,-75.023",180.0,195838.76
house,|Colombia|Atlántico|Barranquilla|,"10.997,-74.804",89.0,151562.97
house,|Colombia|Bogotá D.C|Usaquén|,"4.743,-74.033",98.0,103997.13
house,|Colombia|Antioquia|,"6.55687,-75.82806",230.0,202591.82
house,|Colombia|Bogotá D.C|Usaquén|,"4.695,-74.051",145.0,229604.06
house,|Colombia|Atlántico|Puerto Colombia|,"10.985,-74.96",93.0,101295.91
house,|Colombia|Bogotá D.C|Usaquén|,"4.764,-74.043",198.0,162073.45
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",130.0,113113.76
house,|Colombia|Quindío|Armenia|,"4.553,-75.656",348.0,232980.59
house,|Colombia|Atlántico|Barranquilla|,"11.005,-74.809",360.0,303887.73
house,|Colombia|Bogotá D.C|Chapinero|,"4.669,-74.058",99.0,323504.7
house,|Colombia|Atlántico|Barranquilla|,"10.997,-74.823",171.0,152293.33
house,|Colombia|Antioquia|Medellín|El Poblado|,"6.253,-75.565",320.0,243110.18
house,|Colombia|Bogotá D.C|Chapinero|,"4.644,-74.058",72.0,141814.27
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",155.0,204111.26
apartment,|Colombia|Cundinamarca|,"4.7450651608,-74.0250078035",77.0,120000.68
house,|Colombia|Atlántico|Barranquilla|,"11.009,-74.81",220.0,202591.82
house,|Colombia|Atlántico|Barranquilla|,"11.023,-74.817",77.0,94542.85
apartment,|Colombia|Santander|Bucaramanga|,"7.1196559699,-73.1082225444",212.0,303887.73
house,|Colombia|Atlántico|Barranquilla|,"10.991,-74.797",83.0,70063.0
house,|Colombia|Bogotá D.C|Suba|,"4.757,-74.054",83.0,118178.56
house,|Colombia|Atlántico|Soledad|,,423.0,506479.56
house,|Colombia|Cundinamarca|Guaduas|,"5.067,-74.595",75.0,253239.78
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.7,-74.052",162.0,406452.54
house,|Colombia|Bogotá D.C|Suba|,"4.756,-74.07",220.0,192462.23
house,|Colombia|Bogotá D.C|Usaquén|,"4.717,-74.029",270.0,371418.34
house,|Colombia|Bogotá D.C|Suba|,"4.721,-74.06",94.0,155320.39
house,|Colombia|Cundinamarca|Zipaquirá|,"5.027,-74.01",120.0,141814.27
house,|Colombia|Valle del Cauca|Cali|,"3.366,-76.517",300.0,101295.91
house,|Colombia|Bogotá D.C|Usaquén|,"4.686,-74.036",125.0,173891.31
house,|Colombia|Bogotá D.C|Usaquén|,"4.709,-74.03",75.0,113113.76
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",73.0,65842.34
house,|Colombia|Bogotá D.C|Usaquén|,"4.704,-74.051",150.0,244798.45
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",211.0,320770.38
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.676,-74.056",82.0,195838.76
house,|Colombia|Bogotá D.C|Fontibón|,"4.662,-74.129",101.0,106360.7
house,|Colombia|Bogotá D.C|Usaquén|,"4.695,-74.042",66.0,143502.54
house,|Colombia|Valle del Cauca|Jamundí|,"3.296,-76.527",200.0,151943.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.7,-74.034",70.0,128308.15
house,|Colombia|Cundinamarca|Girardot|,"4.28,-74.769",92.0,95049.33
house,|Colombia|Atlántico|Barranquilla|,"11.023,-74.817",83.0,84413.26
house,|Colombia|Atlántico|Puerto Colombia|,"10.988,-74.956",400.0,209344.88
house,|Colombia|Bogotá D.C|Chapinero|,"4.686,-74.044",114.0,195838.76
house,|Colombia|Bogotá D.C|Kennedy|,"4.629,-74.141",135.0,84413.26
house,|Colombia|Bogotá D.C|Usaquén|,"4.711,-74.026",204.0,540244.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.693,-74.048",206.0,455831.6
house,|Colombia|Bogotá D.C|Usaquén|,"4.704,-74.027",110.0,212721.41
apartment,|Colombia|Santander|Bucaramanga|,"7.1272314684,-73.1112134457",105.0,109990.47
house,|Colombia|Bogotá D.C|Suba|,"4.694,-74.067",133.0,195838.76
house,|Colombia|Bogotá D.C|Suba|,"4.739,-74.066",76.0,121555.09
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.63,-74.106",68.0,79348.46
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.712,-74.096",144.0,96231.11
house,|Colombia|Bogotá D.C|Usaquén|,"4.675,-74.049",74.0,192462.23
