operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.384467,-99.135872",1860000.0,MXN,1843173.75,97996.85,,70.0,,26571.42857142857,,,,http://benito-juarez.properati.com.mx/oyiw_venta_departamento_benito-juarez_orinoco_16_carlos-alvarez-corona
sell,apartment,|México|Distrito Federal|Iztapalapa|Cerro de La Estrella|,"19.324123,-99.074132",700000.0,MXN,693667.44,36880.53,,50.0,,14000.0,,,,http://cerro-de-la-estrella.properati.com.mx/oyj7_venta_departamento_cerro-de-la-estrella_espana_151_tecnocasa-coapa
sell,house,|México|Distrito Federal|La Magdalena Contreras|San Jerónimo Lídice|,"19.317653,-99.236291",3350000.0,MXN,3319694.98,176499.72,,350.0,,9571.42857142857,,,,http://san-jeronimo-lidice.properati.com.mx/oyjn_venta_casa_san-jeronimo-lidice_riv-escuela-superior-guerra_8_edith-diaz
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.446313,-99.14006",405108.0,MXN,401443.16,21343.71,,50.0,,8102.16,,,,http://cuauhtemoc.properati.com.mx/oyjs_venta_departamento_cuauhtemoc_general-pedro-luis-ogazon_10_gabriela-vega
sell,house,|México|Distrito Federal|Coyoacán|,"19.303906,-99.107812",7200000.0,MXN,7134866.79,379342.68,,250.0,,28800.0,,,,http://coyoacan.properati.com.mx/oyju_venta_casa_coyoacan_hda-santa-cecilia_128_tecnocasa-coapa
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.374171,-99.181264",2425000.0,MXN,2403062.73,127764.72,,96.0,,25260.416666666668,,,,http://benito-juarez.properati.com.mx/oyjx_venta_departamento_benito-juarez_grupo-inmobiliario-progreso-inmobiliario-progreso
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.287428,-99.122283",1250000.0,MXN,1238692.07,65858.1,,65.0,,19230.76923076923,,,,http://tlalpan.properati.com.mx/oyk4_venta_departamento_tlalpan_hacienda_56_tecnocasa-coapa
sell,house,|México|Distrito Federal|Venustiano Carranza|,"19.436436,-99.117256",1362000.0,MXN,1349678.96,71758.99,,98.0,,13897.959183673467,,,,http://venustiano-carranza.properati.com.mx/oyk7_venta_casa_venustiano-carranza_heroes-de-nacozari_edith-diaz
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.382429,-99.160199",2250000.0,MXN,2229645.73,118544.58,,90.0,,25000.0,,,,http://benito-juarez.properati.com.mx/oykc_venta_departamento_benito-juarez_division-del-norte_1000_estrategias-inmobiliaria
sell,house,|México|Distrito Federal|Tlalpan|Granjas Coapa|,"19.300456,-99.115741",3900000.0,MXN,3864719.42,205477.28,,153.0,,25490.19607843137,,,,http://granjas-coapa.properati.com.mx/oykd_venta_casa_granjas-coapa_ingenio-la-joya_34_tecnocasa-coapa
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,"19.363167,-99.276028",9000000.0,MXN,8918583.49,474178.35,,188.0,,47872.34042553192,,,,http://alvaro-obregon.properati.com.mx/oykp_venta_departamento_alvaro-obregon_av-vasco-de-quiroga_1_quality-uribe-inmobiliaria
sell,house,|México|Distrito Federal|Coyoacán|Villa Coyoacán|,"19.348694,-99.16291",1150000.0,USD,21629775.0,1150000.0,,555.0,,2072.072072072072,,,,http://villa-coyoacan.properati.com.mx/oyl2_venta_casa_villa-coyoacan_olivia-ortiz
sell,house,|México|Distrito Federal|Tlalpan|,"19.300963,-99.144237",7500000.0,MXN,7432152.81,395148.62,,385.0,,19480.51948051948,,,,http://tlalpan.properati.com.mx/oyl8_venta_casa_tlalpan_rebeca-leon-mejia
sell,house,|México|Distrito Federal|Coyoacán|Paseos de Taxqueña|,"19.343979,-99.124863",6310000.0,MXN,6252917.98,332451.71,,183.0,,34480.87431693989,,,,http://paseos-de-taxquena.properati.com.mx/oylp_venta_casa_paseos-de-taxquena_av-paseos-de-la-luz_0_adami-delgadillo
sell,apartment,|México|Distrito Federal|Coyoacán|San Diego Churubusco|,"19.354509,-99.149765",10000000.0,MXN,9909537.15,526864.83,,293.0,,34129.69283276451,,,,http://san-diego-churubusco.properati.com.mx/oyls_venta_departamento_san-diego-churubusco_inventario-inmobiliario-5
sell,apartment,|México|Distrito Federal|Coyoacán|San Diego Churubusco|,"19.354509,-99.149765",10000000.0,MXN,9909537.15,526864.83,,293.0,,34129.69283276451,,,,http://san-diego-churubusco.properati.com.mx/oymb_venta_departamento_san-diego-churubusco_inventario-inmobiliario-6
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.377171,-99.188503",2028000.0,MXN,2009653.99,106848.18,,80.0,,25350.0,,,,http://benito-juarez.properati.com.mx/oymd_venta_departamento_benito-juarez_miguel-angel_23_ubaldo-velasco
sell,apartment,|México|Distrito Federal|Coyoacán|La Otra Banda|,,6500000.0,MXN,6441199.16,342462.14,,141.0,,46099.29078014184,,,,http://la-otra-banda-coyoacan.properati.com.mx/oymn_venta_departamento_la-otra-banda_inventario-inmobiliario-5
sell,apartment,|México|Distrito Federal|Coyoacán|La Otra Banda|,,6500000.0,MXN,6441199.16,342462.14,,141.0,,46099.29078014184,,,,http://la-otra-banda-coyoacan.properati.com.mx/oymr_venta_departamento_la-otra-banda_inventario-inmobiliario-6
